ad_click_id,ad_id,user_id
1,486,3249
2,1236,8353
3,1406,8991
4,1020,84
5,587,763
6,912,7398
7,172,8778
8,1810,7063
9,1633,786
10,476,9497
11,969,9578
12,851,7564
13,1707,4518
14,1078,3234
15,1083,4767
16,632,4338
17,1203,5723
18,1563,1329
19,1024,1775
20,597,7848
21,1575,8635
22,1098,420
23,581,2947
24,849,757
25,1516,6671
26,1627,4405
27,1359,6385
28,1673,7818
29,1950,8739
30,193,653
31,1135,1122
32,1338,6930
33,507,496
34,32,1175
35,28,9219
36,1290,3645
37,894,1800
38,1240,9050
39,649,2952
40,727,5170
41,1471,475
42,843,6790
43,277,1769
44,1523,9388
45,63,6068
46,914,3783
47,933,9063
48,1638,1051
49,716,4282
50,1489,3375
51,1055,8274
52,365,5129
53,1155,3526
54,1423,6346
55,2,9809
56,595,6842
57,797,611
58,288,9129
59,1196,3523
60,1794,8196
61,1842,883
62,1462,3615
63,1001,1317
64,145,7705
65,407,6704
66,1464,8145
67,478,2653
68,860,5853
69,1695,352
70,574,3176
71,879,2119
72,1783,6162
73,1112,5025
74,1917,1714
75,186,4731
76,1149,4514
77,1560,4396
78,1922,5837
79,591,6950
80,410,7691
81,616,5447
82,783,52
83,1857,5597
84,1510,612
85,961,4752
86,982,2027
87,1932,1672
88,206,7318
89,658,4846
90,529,2959
91,1936,4187
92,159,8994
93,961,7680
94,12,2496
95,1987,1047
96,1568,1006
97,1570,3589
98,900,2841
99,1415,8401
100,1981,9481
101,917,5200
102,774,7266
103,1767,4821
104,452,905
105,1530,286
106,1372,2306
107,401,1158
108,244,1830
109,1329,565
110,528,9931
111,1367,7200
112,997,4641
113,1018,4124
114,1913,2229
115,860,2810
116,1882,8432
117,1649,482
118,1383,2674
119,1594,8476
120,1802,7175
121,1421,7163
122,1721,6524
123,986,8012
124,1395,4530
125,1943,3109
126,787,9845
127,914,8397
128,1976,9418
129,1316,2158
130,421,3644
131,1686,2285
132,1985,2156
133,1937,7217
134,600,5330
135,1946,7234
136,726,3054
137,234,5181
138,238,3109
139,665,3859
140,1210,4479
141,1801,5664
142,611,744
143,351,7071
144,411,3747
145,1802,6360
146,196,4781
147,779,7196
148,982,5610
149,1805,4671
150,844,3738
151,687,7520
152,1252,7733
153,324,9854
154,966,6122
155,1117,1065
156,1693,5495
157,886,9005
158,56,220
159,488,9057
160,239,9383
161,801,9874
162,892,8620
163,1432,1239
164,1076,4766
165,1941,804
166,550,259
167,1806,1137
168,1872,7916
169,186,7079
170,1034,1767
171,128,3388
172,1646,8065
173,917,5564
174,1338,267
175,775,44
176,1170,4158
177,332,5397
178,1037,9013
179,614,9399
180,988,6055
181,870,4096
182,263,9123
183,1915,9749
184,781,5125
185,634,1701
186,1921,9594
187,1658,5848
188,1573,8437
189,1367,9590
190,1517,1976
191,170,3829
192,861,4464
193,1870,5993
194,488,6614
195,1236,3689
196,1833,5158
197,348,7155
198,1614,4955
199,509,7351
200,1765,3220
201,1556,9135
202,599,8373
203,781,7332
204,1192,740
205,262,5391
206,1767,5693
207,989,3375
208,1332,4292
209,849,3822
210,1260,5954
211,611,1607
212,1744,6738
213,719,5205
214,664,117
215,103,2555
216,187,7403
217,1644,7568
218,710,8716
219,694,7061
220,1282,9841
221,1017,5798
222,598,9371
223,1080,1243
224,955,8742
225,260,5000
226,1489,1399
227,698,6024
228,318,7443
229,662,2873
230,1157,2527
231,489,2014
232,1491,4953
233,1784,7273
234,804,5403
235,1619,4749
236,1915,6493
237,1453,1561
238,873,8012
239,1230,1288
240,1712,100
241,83,8086
242,783,6928
243,785,9150
244,784,4863
245,1461,3079
246,1523,8627
247,1912,1999
248,998,2765
249,1090,6669
250,723,6110
251,657,5157
252,184,5814
253,243,3820
254,1215,9684
255,350,9720
256,1785,1433
257,293,3135
258,422,7215
259,1551,813
260,313,8268
261,1121,2820
262,532,2758
263,1878,4736
264,1813,5492
265,1230,576
266,1657,6713
267,1247,3441
268,958,7947
269,687,4710
270,783,1400
271,674,4963
272,1577,1136
273,660,4715
274,462,408
275,1176,3805
276,1251,9099
277,358,8707
278,978,3236
279,1880,9240
280,1915,3787
281,1973,626
282,1052,1661
283,1593,4953
284,1866,7621
285,1841,42
286,655,3155
287,1909,2363
288,1275,942
289,1466,3888
290,1078,4391
291,1861,2467
292,128,3102
293,1551,3789
294,1815,7425
295,804,9563
296,550,21
297,1527,7609
298,1743,6506
299,1396,4889
300,640,5050
301,1103,9417
302,1999,9508
303,941,7391
304,1868,9671
305,222,8818
306,1237,6056
307,1478,9597
308,509,4718
309,1800,904
310,103,3542
311,1241,9705
312,1583,4044
313,1070,7238
314,328,527
315,1878,2180
316,245,3455
317,899,5666
318,198,389
319,1441,9098
320,1499,4698
321,520,3035
322,1225,1443
323,672,9035
324,651,9638
325,142,5025
326,1936,3819
327,1480,7428
328,1417,2768
329,1890,6616
330,1032,4659
331,1973,357
332,191,1558
333,1684,4355
334,128,7056
335,872,3566
336,1738,5651
337,389,875
338,696,4749
339,606,1094
340,784,529
341,1817,6433
342,1063,6145
343,96,9076
344,1095,1075
345,75,6562
346,1910,9757
347,481,5891
348,1552,3338
349,568,2170
350,1389,8235
351,1002,7280
352,564,7547
353,157,9787
354,838,8295
355,1765,5086
356,1108,1129
357,1326,2159
358,1634,6581
359,86,5354
360,286,8968
361,1959,375
362,576,4612
363,890,5912
364,1717,7110
365,160,4748
366,1844,588
367,201,4001
368,1657,2127
369,1322,8860
370,25,9718
371,418,7546
372,527,9719
373,1677,5252
374,815,3633
375,51,2989
376,762,121
377,387,3508
378,678,6135
379,737,6163
380,1986,4330
381,411,7656
382,1637,6984
383,900,3391
384,145,1076
385,1869,7042
386,562,2883
387,895,9246
388,1470,5680
389,1574,3246
390,242,4430
391,64,6507
392,587,1221
393,645,6180
394,829,9630
395,1031,7310
396,1368,3455
397,22,4344
398,363,7367
399,807,2251
400,1508,2941
401,1461,5426
402,1148,5009
403,1816,9500
404,280,8923
405,33,3818
406,1586,1504
407,1801,3041
408,1333,5175
409,1892,6828
410,1317,2321
411,1434,6715
412,565,8205
413,821,5053
414,462,841
415,769,994
416,844,8952
417,1135,6008
418,1907,9930
419,105,8495
420,897,9977
421,1496,7696
422,5,5791
423,929,2851
424,832,6981
425,1657,1877
426,1399,1576
427,1527,2600
428,1007,9424
429,442,1293
430,1894,1561
431,1740,908
432,407,6256
433,1450,1913
434,1862,9529
435,1973,9791
436,1007,4000
437,791,3722
438,1611,6047
439,1402,3770
440,1177,4309
441,572,902
442,447,7375
443,432,5101
444,112,5868
445,1487,5254
446,28,7669
447,1427,4221
448,178,8541
449,1335,868
450,199,1883
451,1916,4369
452,508,4837
453,1597,5313
454,1620,8775
455,940,974
456,1410,9747
457,1443,942
458,196,8960
459,1250,7880
460,1323,6301
461,539,7839
462,695,8949
463,1359,8097
464,361,3309
465,248,4370
466,1047,129
467,951,327
468,1612,3011
469,259,7179
470,96,7167
471,1702,5101
472,1580,6465
473,1295,5561
474,200,9160
475,928,8417
476,397,2940
477,417,2124
478,138,1311
479,713,1069
480,228,9459
481,59,4988
482,85,2052
483,272,9433
484,621,5626
485,1604,8784
486,21,8507
487,588,5707
488,1880,2772
489,1155,1473
490,364,497
491,47,9333
492,380,8641
493,183,7315
494,1757,5523
495,1346,3319
496,984,7691
497,1287,1175
498,1954,3612
499,60,6711
500,1621,5138
501,64,4899
502,725,9852
503,132,7917
504,893,9900
505,771,2184
506,1203,9427
507,1982,5883
508,1262,8094
509,1862,2852
510,1462,2015
511,1106,5292
512,1579,6378
513,1693,9004
514,1870,721
515,822,9813
516,1677,8648
517,1839,4805
518,1008,5860
519,431,6279
520,1684,5879
521,386,1454
522,1514,7304
523,1860,6318
524,1952,9147
525,1710,8685
526,1951,7466
527,1229,998
528,1682,9140
529,929,3999
530,1050,6245
531,767,4881
532,718,8072
533,690,5309
534,1630,1289
535,656,4711
536,1377,7265
537,1165,3870
538,1525,2774
539,893,8215
540,1470,6259
541,1498,3641
542,764,9710
543,1191,6349
544,219,7317
545,1230,3653
546,1795,3902
547,1023,2953
548,357,5472
549,1712,5494
550,1871,618
551,500,6674
552,586,8754
553,1680,2143
554,386,7098
555,996,5334
556,1536,4744
557,1036,921
558,1998,4871
559,467,8812
560,333,504
561,1886,691
562,1167,9162
563,197,7739
564,408,4399
565,60,5344
566,950,1315
567,960,6558
568,124,9138
569,1920,6841
570,1692,86
571,1749,224
572,284,6557
573,1433,1327
574,797,4234
575,1745,5019
576,651,8463
577,1720,1903
578,1675,1450
579,365,6670
580,167,8643
581,1364,5282
582,308,1539
583,460,2081
584,1246,9764
585,39,4415
586,181,7720
587,154,4647
588,124,8451
589,29,2589
590,1823,7015
591,1734,3477
592,608,8787
593,520,7749
594,79,3849
595,751,2861
596,293,4033
597,1654,2861
598,347,5817
599,666,1043
600,550,8825
601,30,5907
602,1249,906
603,1735,9058
604,293,4233
605,948,6315
606,54,2286
607,121,3005
608,1571,6695
609,1538,9916
610,1270,568
611,1827,2815
612,1128,272
613,1568,7049
614,24,2768
615,1980,7775
616,569,4601
617,48,6483
