search_id,user_id,query
1,511,series
2,3266,raise
3,8982,control
4,7748,common
5,4927,human
6,3683,along
7,9429,admit
8,4964,away
9,860,require
10,1357,whatever
11,5989,tonight
12,9706,value
13,5119,wonder
14,5532,usually
15,1619,occur
16,648,firm
17,9494,she
18,2334,building
19,8263,brother
20,9178,room
21,768,at
22,1114,newspaper
23,8101,on
24,2960,public
25,8603,bill
26,8645,discussion
27,2287,entire
28,4967,little
29,3279,property
30,3444,inside
31,8678,early
32,6750,expert
33,1625,month
34,8143,other
35,5561,will
36,4476,development
37,1434,already
38,2321,still
39,4259,need
40,2993,create
41,5448,certainly
42,9231,option
43,8718,look
44,5230,deep
45,526,garden
46,7188,field
47,615,father
48,1454,never
49,949,want
50,952,resource
51,7056,law
52,8234,test
53,4624,knowledge
54,8728,respond
55,7177,improve
56,357,gas
57,1045,poor
58,6628,floor
59,4272,forget
60,9921,clear
61,9669,near
62,9407,understand
63,9418,series
64,4509,ground
65,8607,child
66,3366,dark
67,8084,catch
68,5221,trial
69,477,tonight
70,9257,to
71,5297,interview
72,4988,north
73,3286,throw
74,1463,history
75,2353,but
76,8356,night
77,7925,from
78,9103,movement
79,6366,almost
80,7821,put
81,130,laugh
82,5938,remain
83,8613,because
84,3402,reveal
85,7001,play
86,3430,thousand
87,5418,partner
88,3113,where
89,4692,owner
90,9667,point
91,1092,together
92,2535,face
93,373,sometimes
94,1054,at
95,4543,hundred
96,3491,join
97,3621,language
98,8209,law
99,776,soon
100,4102,sense
101,4047,recognize
102,4977,travel
103,6456,exist
104,5735,which
105,9699,care
106,5619,choice
107,7545,hear
108,5276,behind
109,9960,key
110,7485,evening
111,1127,admit
112,5155,its
113,9888,hour
114,9473,hand
115,4325,inside
116,5836,whole
117,9278,term
118,7277,clearly
119,4286,travel
120,2029,institution
121,5492,million
122,7741,entire
123,5580,public
124,3555,animal
125,108,without
126,9903,trouble
127,6461,take
128,6217,fact
129,101,beyond
130,2745,science
131,9502,region
132,1786,player
133,8930,learn
134,1996,six
135,2655,successful
136,4629,similar
137,2829,rate
138,7051,pull
139,3197,security
140,4459,sister
141,9284,protect
142,7213,Republican
143,6830,truth
144,2796,thank
145,2542,event
146,4901,movie
147,887,state
148,3899,little
149,9484,institution
150,2016,image
151,6465,nature
152,8702,teach
153,817,wrong
